device_name,device_id
ZJ-LS-JY_1-0001,nj2ykm5rq8tdyq3o2023101720774144
ZJ-LS-JY_1-0002,njrcd9fkj0htjx5e2024011592376836
ZJ-LS-JY_1-0003,nj3omfbknufhtnqa2024011534990454
ZJ-LS-JY_1-0004,nju2vxuvak128xmb2024011562315055
ZJ-LS-JY_1-0005,njcvcw0zzgaueyb92024011518795119
ZJ-LS-JY_1-0006,njzux6rc4nocpxb22023101700300985
ZJ-LS-JY_1-0007,njxqmpvz4n7xbyns2024011547916355
ZJ-LS-JY_1-0008,njaerv300mf91hev2024011562094298
ZJ-LS-JY_1-0009,njgddvay9eegqw8z2023101769638366
ZJ-LS-JY_1-0010,njwtedj634zk3pws2024011534372345
ZJ-LS-JY_1-0011,njss5r38vmwbdhle2024011522972856
